Time,Value
2022-02-23 18:59:46.2,1.00111
2022-02-23 18:59:46.3,0.99209
2022-02-23 18:59:46.4,1.01134
2022-02-23 18:59:46.5,1.00111
2022-02-23 18:59:46.6,1.00671
2022-02-23 18:59:46.7,1.00111
2022-02-23 18:59:46.8,1.00111
2022-02-23 18:59:46.9,0.995745
2022-02-23 18:59:47.0,1.00866
2022-02-23 18:59:47.1,0.999401
2022-02-23 18:59:47.2,1.02036
2022-02-23 18:59:47.3,0.994283
2022-02-23 18:59:47.4,1.02206
2022-02-23 18:59:47.5,1.00062
2022-02-23 18:59:47.6,0.997695
2022-02-23 18:59:47.7,1.01573
2022-02-23 18:59:47.8,0.994771
2022-02-23 18:59:47.9,0.999644
2022-02-23 18:59:48.0,1.01329
2022-02-23 18:59:48.1,1.0206
2022-02-23 18:59:48.2,1.02938
2022-02-23 18:59:48.3,1.01378
2022-02-23 18:59:48.4,1.03985
2022-02-23 18:59:48.5,1.01061
2022-02-23 18:59:48.6,0.991359
2022-02-23 18:59:48.7,1.01159
2022-02-23 18:59:48.8,0.980149
2022-02-23 18:59:48.9,1.01987
2022-02-23 18:59:49.0,0.999157
2022-02-23 18:59:49.1,1.03011
2022-02-23 18:59:49.2,0.986972
2022-02-23 18:59:49.3,1.01792
2022-02-23 18:59:49.4,0.99867
2022-02-23 18:59:49.5,1.0189
2022-02-23 18:59:49.6,1.00038
2022-02-23 18:59:49.7,1.02718
2022-02-23 18:59:49.8,1.02255
2022-02-23 18:59:49.9,1.00769
2022-02-23 18:59:50.0,0.99867
2022-02-23 18:59:50.1,1.01183
2022-02-23 18:59:50.2,1.02548
2022-02-23 18:59:50.3,1.01378
2022-02-23 18:59:50.4,0.998426
2022-02-23 18:59:50.5,0.992334
2022-02-23 18:59:50.6,0.984048
2022-02-23 18:59:50.7,0.985754
2022-02-23 18:59:50.8,0.997939
2022-02-23 18:59:50.9,0.989165
2022-02-23 18:59:51.0,1.01207
2022-02-23 18:59:51.1,0.999888
2022-02-23 18:59:51.2,0.999157
2022-02-23 18:59:51.3,0.993796
2022-02-23 18:59:51.4,1.0111
2022-02-23 18:59:51.5,1.00257
2022-02-23 18:59:51.6,1.0072
2022-02-23 18:59:51.7,1.02085
2022-02-23 18:59:51.8,1.0167
2022-02-23 18:59:51.9,1.00647
2022-02-23 18:59:52.0,1.00842
2022-02-23 18:59:52.1,1.01987
2022-02-23 18:59:52.2,1.0189
2022-02-23 18:59:52.3,1.02523
2022-02-23 18:59:52.4,1.0111
2022-02-23 18:59:52.5,1.02353
2022-02-23 18:59:52.6,1.01841
2022-02-23 18:59:52.7,1.01524
2022-02-23 18:59:52.8,1.02426
2022-02-23 18:59:52.9,1.02499
2022-02-23 18:59:53.0,1.01646
2022-02-23 18:59:53.1,0.999157
2022-02-23 18:59:53.2,1.01938
2022-02-23 18:59:53.3,1.02523
2022-02-23 18:59:53.4,1.00208
2022-02-23 18:59:53.5,1.0284
2022-02-23 18:59:53.6,1.00476
2022-02-23 18:59:53.7,1.02012
2022-02-23 18:59:53.8,1.00062
2022-02-23 18:59:53.9,1.00525
2022-02-23 18:59:54.0,1.00086
2022-02-23 18:59:54.1,0.99209
2022-02-23 18:59:54.2,0.988191
2022-02-23 18:59:54.3,0.995502
2022-02-23 18:59:54.4,0.991359
2022-02-23 18:59:54.5,0.994039
2022-02-23 18:59:54.6,0.978687
2022-02-23 18:59:54.7,1.00866
2022-02-23 18:59:54.8,1.00501
2022-02-23 18:59:54.9,1.0111
2022-02-23 18:59:55.0,0.995502
2022-02-23 18:59:55.1,0.982098
2022-02-23 18:59:55.2,1.00354
2022-02-23 18:59:55.3,0.993796
2022-02-23 18:59:55.4,1.00208
2022-02-23 18:59:55.5,0.998913
2022-02-23 18:59:55.6,0.992334
2022-02-23 18:59:55.7,0.997695
2022-02-23 18:59:55.8,1.00647
2022-02-23 18:59:55.9,0.983804
2022-02-23 18:59:56.0,1.0284
2022-02-23 18:59:56.1,0.986972
2022-02-23 18:59:56.2,1.0111
2022-02-23 18:59:56.3,1.02523
2022-02-23 18:59:56.4,0.990384
2022-02-23 18:59:56.5,1.00208
2022-02-23 18:59:56.6,1.00159
2022-02-23 18:59:56.7,0.998913
2022-02-23 18:59:56.8,1.00964
2022-02-23 18:59:56.9,1.00622
2022-02-23 18:59:57.0,0.997207
2022-02-23 18:59:57.1,1.00281
2022-02-23 18:59:57.2,0.997207
2022-02-23 18:59:57.3,0.997939
2022-02-23 18:59:57.4,0.995258
2022-02-23 18:59:57.5,1.0206
2022-02-23 18:59:57.6,0.984779
2022-02-23 18:59:57.7,1.01597
2022-02-23 18:59:57.8,0.995989
2022-02-23 18:59:57.9,1.00086
2022-02-23 18:59:58.0,1.00184
2022-02-23 18:59:58.1,1.01012
2022-02-23 18:59:58.2,0.990384
2022-02-23 18:59:58.3,1.02304
2022-02-23 18:59:58.4,0.983073
2022-02-23 18:59:58.5,1.01938
2022-02-23 18:59:58.6,0.992577
2022-02-23 18:59:58.7,1.02743
2022-02-23 18:59:58.8,1.0245
2022-02-23 18:59:58.9,1.02426
2022-02-23 18:59:59.0,1.03084
2022-02-23 18:59:59.1,1.00647
2022-02-23 18:59:59.2,1.04424
2022-02-23 18:59:59.3,1.01914
2022-02-23 18:59:59.4,1.00135
2022-02-23 18:59:59.5,1.00769
2022-02-23 18:59:59.6,1.01012
2022-02-23 18:59:59.7,0.994283
2022-02-23 18:59:59.8,0.997695
2022-02-23 18:59:59.9,0.992334
2022-02-23 19:00:00.0,1.00013
2022-02-23 19:00:00.1,0.995014
2022-02-23 19:00:00.2,1.0033
2022-02-23 19:00:00.3,0.989653
2022-02-23 19:00:00.4,1.00111
2022-02-23 19:00:00.5,1.00452
2022-02-23 19:00:00.6,0.999644
2022-02-23 19:00:00.7,1.00379
2022-02-23 19:00:00.8,1.00135
2022-02-23 19:00:00.9,1.00501
2022-02-23 19:00:01.0,1.00208
2022-02-23 19:00:01.1,1.00403
2022-02-23 19:00:01.2,1.01207
2022-02-23 19:00:01.3,1.00622
2022-02-23 19:00:01.4,1.01914
2022-02-23 19:00:01.5,0.998913
2022-02-23 19:00:01.6,1.02036
2022-02-23 19:00:01.7,0.988922
2022-02-23 19:00:01.8,1.00549
2022-02-23 19:00:01.9,0.998426
2022-02-23 19:00:02.0,0.999644
2022-02-23 19:00:02.1,1.0089
2022-02-23 19:00:02.2,1.00525
2022-02-23 19:00:02.3,0.991359
2022-02-23 19:00:02.4,1.03522
2022-02-23 19:00:02.5,1.03035
2022-02-23 19:00:02.6,0.991846
2022-02-23 19:00:02.7,1.02767
2022-02-23 19:00:02.8,0.988434
2022-02-23 19:00:02.9,1.04351
2022-02-23 19:00:03.0,0.994527
2022-02-23 19:00:03.1,1.04497
2022-02-23 19:00:03.2,1.00574
2022-02-23 19:00:03.3,1.03401
2022-02-23 19:00:03.4,1.01427
2022-02-23 19:00:03.5,1.04717
2022-02-23 19:00:03.6,1.00184
2022-02-23 19:00:03.7,1.01475
2022-02-23 19:00:03.8,1.01451
2022-02-23 19:00:03.9,1.00281
2022-02-23 19:00:04.0,0.998426
2022-02-23 19:00:04.1,0.992577
2022-02-23 19:00:04.2,1.0245
2022-02-23 19:00:04.3,0.998913
2022-02-23 19:00:04.4,1.01987
2022-02-23 19:00:04.5,0.984779
2022-02-23 19:00:04.6,1.01378
2022-02-23 19:00:04.7,0.995502
2022-02-23 19:00:04.8,0.999401
2022-02-23 19:00:04.9,0.988434
2022-02-23 19:00:05.0,1.00233
2022-02-23 19:00:05.1,1.00306
2022-02-23 19:00:05.2,0.99672
2022-02-23 19:00:05.3,1.00038
2022-02-23 19:00:05.4,0.999157
2022-02-23 19:00:05.5,1.00598
2022-02-23 19:00:05.6,1.00038
2022-02-23 19:00:05.7,1.00013
2022-02-23 19:00:05.8,1.0167
2022-02-23 19:00:05.9,1.01134
2022-02-23 19:00:06.0,1.00696
2022-02-23 19:00:06.1,1.00501
2022-02-23 19:00:06.2,0.988191
2022-02-23 19:00:06.3,0.99867
2022-02-23 19:00:06.4,1.00184
2022-02-23 19:00:06.5,0.994527
2022-02-23 19:00:06.6,0.987216
2022-02-23 19:00:06.7,1.01159
2022-02-23 19:00:06.8,0.979174
2022-02-23 19:00:06.9,1.01232
2022-02-23 19:00:07.0,0.991846
2022-02-23 19:00:07.1,1.00598
2022-02-23 19:00:07.2,0.995745
2022-02-23 19:00:07.3,1.00306
2022-02-23 19:00:07.4,0.98088
2022-02-23 19:00:07.5,1.01427
2022-02-23 19:00:07.6,1.00452
2022-02-23 19:00:07.7,1.01256
2022-02-23 19:00:07.8,1.00062
2022-02-23 19:00:07.9,1.03303
2022-02-23 19:00:08.0,0.992821
2022-02-23 19:00:08.1,1.02889
2022-02-23 19:00:08.2,1.00111
2022-02-23 19:00:08.3,0.988678
2022-02-23 19:00:08.4,1.0033
2022-02-23 19:00:08.5,0.997207
2022-02-23 19:00:08.6,1.03035
2022-02-23 19:00:08.7,0.991846
2022-02-23 19:00:08.8,1.01938
2022-02-23 19:00:08.9,1.00111
2022-02-23 19:00:09.0,1.00476
2022-02-23 19:00:09.1,0.994039
2022-02-23 19:00:09.2,1.00013
2022-02-23 19:00:09.3,1.00403
2022-02-23 19:00:09.4,1.03303
2022-02-23 19:00:09.5,1.01329
2022-02-23 19:00:09.6,1.02718
2022-02-23 19:00:09.7,1.00817
2022-02-23 19:00:09.8,1.03084
2022-02-23 19:00:09.9,1.02158
2022-02-23 19:00:10.0,1.02109
2022-02-23 19:00:10.1,1.01597
2022-02-23 19:00:10.2,1.00793
2022-02-23 19:00:10.3,1.01402
2022-02-23 19:00:10.4,1.00769
2022-02-23 19:00:10.5,0.993796
2022-02-23 19:00:10.6,1.0284
2022-02-23 19:00:10.7,1.03596
2022-02-23 19:00:10.8,1.03425
2022-02-23 19:00:10.9,1.01987
2022-02-23 19:00:11.0,1.02864
2022-02-23 19:00:11.1,1.01232
2022-02-23 19:00:11.2,0.981124
2022-02-23 19:00:11.3,0.995014
2022-02-23 19:00:11.4,0.99014
2022-02-23 19:00:11.5,1.01378
2022-02-23 19:00:11.6,0.978443
2022-02-23 19:00:11.7,1.03693
2022-02-23 19:00:11.8,0.999888
2022-02-23 19:00:11.9,1.02596
2022-02-23 19:00:12.0,0.987947
2022-02-23 19:00:12.1,1.01207
2022-02-23 19:00:12.2,0.981611
2022-02-23 19:00:12.3,1.01792
2022-02-23 19:00:12.4,1.01402
2022-02-23 19:00:12.5,1.04229
2022-02-23 19:00:12.6,0.990871
2022-02-23 19:00:12.7,0.988922
2022-02-23 19:00:12.8,1.02085
2022-02-23 19:00:12.9,0.997695
2022-02-23 19:00:13.0,1.00038
2022-02-23 19:00:13.1,0.985266
2022-02-23 19:00:13.2,1.00062
2022-02-23 19:00:13.3,0.997451
2022-02-23 19:00:13.4,1.00817
2022-02-23 19:00:13.5,0.987703
2022-02-23 19:00:13.6,0.998913
2022-02-23 19:00:13.7,0.981611
2022-02-23 19:00:13.8,1.02328
2022-02-23 19:00:13.9,1.00233
2022-02-23 19:00:14.0,1.00574
2022-02-23 19:00:14.1,0.995014
2022-02-23 19:00:14.2,1.04668
2022-02-23 19:00:14.3,1.01061
2022-02-23 19:00:14.4,1.02012
2022-02-23 19:00:14.5,1.01695
2022-02-23 19:00:14.6,1.02913
2022-02-23 19:00:14.7,1.00184
2022-02-23 19:00:14.8,1.02182
2022-02-23 19:00:14.9,0.997207
2022-02-23 19:00:15.0,1.01402
2022-02-23 19:00:15.1,0.999888
2022-02-23 19:00:15.2,1.02304
2022-02-23 19:00:15.3,0.994527
2022-02-23 19:00:15.4,0.998182
2022-02-23 19:00:15.5,0.986972
2022-02-23 19:00:15.6,1.00744
2022-02-23 19:00:15.7,1.00476
2022-02-23 19:00:15.8,0.999401
2022-02-23 19:00:15.9,1.00866
2022-02-23 19:00:16.0,0.974544
2022-02-23 19:00:16.1,1.00379
2022-02-23 19:00:16.2,0.964308
2022-02-23 19:00:16.3,1.0033
2022-02-23 19:00:16.4,0.974787
2022-02-23 19:00:16.5,0.99672
2022-02-23 19:00:16.6,0.962359
2022-02-23 19:00:16.7,1.00013
2022-02-23 19:00:16.8,0.980392
2022-02-23 19:00:16.9,0.998182
2022-02-23 19:00:17.0,0.98551
2022-02-23 19:00:17.1,1.0033
2022-02-23 19:00:17.2,0.991115
2022-02-23 19:00:17.3,0.99209
2022-02-23 19:00:17.4,0.999401
2022-02-23 19:00:17.5,1.01743
2022-02-23 19:00:17.6,1.02718
2022-02-23 19:00:17.7,1.02085
2022-02-23 19:00:17.8,1.03254
2022-02-23 19:00:17.9,0.995745
2022-02-23 19:00:18.0,1.02255
2022-02-23 19:00:18.1,1.02816
2022-02-23 19:00:18.2,1.03401
2022-02-23 19:00:18.3,1.01719
2022-02-23 19:00:18.4,1.04278
2022-02-23 19:00:18.5,1.04448
2022-02-23 19:00:18.6,1.05423
2022-02-23 19:00:18.7,1.02962
2022-02-23 19:00:18.8,1.04132
2022-02-23 19:00:18.9,1.01378
2022-02-23 19:00:19.0,1.02548
2022-02-23 19:00:19.1,0.999157
2022-02-23 19:00:19.2,1.03401
2022-02-23 19:00:19.3,1.03133
2022-02-23 19:00:19.4,1.02913
2022-02-23 19:00:19.5,1.01207
2022-02-23 19:00:19.6,1.0167
2022-02-23 19:00:19.7,1.01159
2022-02-23 19:00:19.8,1.00354
2022-02-23 19:00:19.9,1.01451
2022-02-23 19:00:20.0,0.991359
